,5
Biomass growth rate,0.23346444027864854
Glucose uptake,-3.1
ALCD25yi,0.0
MTHFCm,0.0
AMPN,0.0
DAGCPTer_RT,0.0
PYRt2,0.0
NNDPRm,0.0
HMGCOASm,-0.000411831272651536
PDE4,0.0
PAPSR,0.0
FACOAL80p,0.0
URIH,0.0
ACOAO4p,0.0
3IPM3MT,0.0
UDPGD,0.0
CYTDK2,0.0
ACACT4m,0.0
CHTNDA,0.0
FACOAL141,0.0
ACACT7p,0.0
POLYAO,0.16535352447180496
MEVK1,0.20715883447025177
DATUP,0.0
TAUDO,0.0
CSp,0.0
PSERT,0.0
GK2,0.0
CYSt2r,0.0
ATPS2v,0.0
SPHPLer,0.0
PLBPCe_RT,0.0
ALDD19xr,0.0
GTHRDH_syn,0.0
NDPK7,0.012906848116364805
PPDOy,0.0
GLYCLTDy,0.0
DGK1,0.0
SLCBK2er,0.0
CERS126er,0.0
CSm,3.4254794001711293
MI145P6Kn,0.0
ADK3m,0.215281062347546
DMATT,0.06870741745180485
PMPK,0.0003252159653081574
LGTHL,0.0
PUNP3m,0.0
PPNDH,0.02221740999467731
GLYTRS,0.119818620039808
HACD4p,0.0
GAT2er_RT,0.0
DASYNer_RT,0.00861483784628213
ACOAD8m,0.0
ECOAH1p,0.0
KYN,0.13445006997651143
HSTPT,0.014605535383832254
FACOAL141p,0.0
FE2t,-0.0010001616621537303
3MOPDC,0.0
PTE11x,0.0
GLUTRS,0.048717725146266426
AICART,0.043093099851097855
CYTD,0.0
42A12BOOX,0.0
DPGM,0.0
TPI,2.1201609419413443
COAtim,0.0
NADS2,0.0
ACACT4p,0.0
HISTRS,0.014280319418524095
PHETRSm,0.0
OMCDC,0.07475648109942468
LEUTA,-0.5990949679145869
DTMPK,0.0005890307828230303
ALCD23yi,0.0
FA140COAabcp,0.0
FACOAL160p,0.0
PGL,0.30240114531756157
THRD_Lm,0.0
BGLA,0.0
TRPTRS,0.005444157282857806
AMETt2,0.0
SHSL1,0.0
AHSERL,0.0
ACtr,0.0
LNS14DMrx,0.0
ACOAD10m,0.0
TMDPP,0.0
INSTt2,0.0
IPC224PLCg_RT,0.0
DCTCP,0.0
TRPTRSm,0.0
HEX7,0.0
HICITDm,0.10693465143863978
MALtm,0.0
AMID,0.0
MCITSm,0.0
GNNUC,0.0
PNTK,0.000179767619014467
FAO80p,0.0
ADA,0.0
GLUDxi,0.0
URAt2,0.0
FA180COAabcp,0.0
AMID2,0.0
ERGSTt,0.0
CSNATp,0.000996426231109272
UDPG4E,0.0
CYOR_u9m,12.134077528937665
SHK3Dr,0.043697772751394644
SSALy,0.0
CYSDS,0.0
RBK,0.0
MOHMT,0.000179767619014467
IPC324PLCg_RT,0.0
GARFT,0.0284875644672656
PYDAMK,0.0
HKYNH,0.00039292065298871665
DATCY,0.0
NNATn,0.0
METTRSm,0.0
SFGTHi,0.0
IPCS226g_RT,0.0
ACP1e,0.0
FAO141p_even,0.0
FTHFLi,0.33761946409133053
ASAD,-0.10182948452301735
ECOAH7p,0.0
FACOAL140p,0.0
ECOAH9m,0.0
HXPRT,0.0
H2Otm,-43.28744242024161
C22STDSrx,0.0
NTRLASE2,0.0
DHAD2m,0.03702022283054502
ERGSTGLCT,0.0
FACOAL182,0.0
P5CR,0.0
PSPHPLer,0.0
MI1PP,0.0
NAt3_1,0.0
NDPK10,0.0
BPNT2,0.0
RNDR3n,0.0
CPPPGO,0.00016132392823254614
PTRCt3i,0.0
NAPRT,0.0
MIP2C324PLCg_RT,0.0
ALCD2x,0.0
PTE7x,0.0
NDPK3,0.009455309831285267
FAO161p_odd,0.0
LANOSTt,0.0
FACOAL120,0.0
ECOAH5m,0.0
SACCD4m,0.0
C4STMO2er,0.03418666491888306
URIDK2r,-0.001589425909417038
NTPP9,0.0
CERS2p24er,0.0
ALPHNH,0.0
DURIPP,0.0
GLUDy,-1.3560772675008919
HSERTA,0.023402008564651106
CITtam,-1.6397648116366743
PHETRS,0.02221740999467731
FMNAT,0.00017533179464926507
TYRTRS,0.01455954288909736
TYRTRSm,0.0
NTRLASE3,0.0
ILETRSm,0.0
ASPK,0.10182948452301735
DIPS,0.0
UDPGALt2g,0.0
LALDO3,0.0
HSK,0.07842747595836624
GTPt2m,0.0
PPCDC,0.000179767619014467
ATPATF1,0.0
PRATPP,0.014605535383832254
ASPTRS,0.04606160020921624
TYRt6,0.0
FAO161p_even,0.0
PSERDv_RT,0.0
IMPC,-0.043093099851097855
DGTUP,0.0
PDE5,0.0
NDPK9,0.0
RNDR4n,0.0
SUCRe,0.0
TYRt7,0.0
RPE,-0.06380558105926104
HEX4,0.0
ILEt7,0.0
ADNUC,0.0
DHQTi,0.043697772751394644
ORNt3m,0.03669267222083411
LEUTAm,0.5243384868151622
ECOAH6m,0.0
NADH2_u9cm,0.0
OMCDCm,0.0
FA182COAabcp,0.0
CHLPCTD,0.0
NDPK2,0.0
ACOAH,0.0
CERS2p26er,0.0
PYK,4.258023866640163
TRDRm,0.0
FAS180COA,0.04492649610058145
PPCOAOm,0.0
GHMT2r,-0.23690547266391548
ACACT5p,0.0
ALLTAHr,0.0
CERS324er,0.0
PGAMT,0.0
PMEVK,0.20715883447025177
FAS80COA_L,0.050530576525030124
