,1
Biomass growth rate,0.08199198428396626
Glucose uptake,-1.114
ALCD25yi,0.0
MTHFCm,0.0
AMPN,0.0
DAGCPTer_RT,0.0
PYRt2,0.0
NNDPRm,0.0
HMGCOASm,-0.007916941022501785
PDE4,0.0
PAPSR,0.0
FACOAL80p,0.0
URIH,0.0
ACOAO4p,0.0
3IPM3MT,0.0
UDPGD,0.0
CYTDK2,0.0
ACACT4m,0.0
CHTNDA,0.0
FACOAL141,0.0
ACACT7p,0.0
POLYAO,0.05807164278895646
MEVK1,0.07275353745477035
DATUP,0.0
TAUDO,0.0
CSp,0.0
PSERT,0.0
GK2,-0.00387297336963743
CYSt2r,0.0
ATPS2v,0.0
SPHPLer,0.0
PLBPCe_RT,0.0
ALDD19xr,0.0
GTHRDH_syn,0.0
NDPK7,0.0
PPDOy,0.0
GLYCLTDy,0.0
DGK1,0.0
SLCBK2er,0.0
CERS126er,0.0
CSm,0.9936344995251031
MI145P6Kn,0.0
ADK3m,0.07743304805971435
DMATT,0.024129831014849848
PMPK,0.00011421483410756499
LGTHL,0.0
PUNP3m,0.0
PPNDH,0.007802685192399365
GLYTRS,0.042079926174217165
HACD4p,0.0
GAT2er_RT,0.0
DASYNer_RT,0.0030255042200783545
ACOAD8m,0.0
ECOAH1p,0.0
KYN,0.047218445821277245
HSTPT,0.00512941853680493
FACOAL141p,0.0
FE2t,-0.00035125366067251143
3MOPDC,0.0
PTE11x,0.0
GLUTRS,0.01710951333648809
AICART,0.015134162451116026
CYTD,0.0
42A12BOOX,0.0
DPGM,0.0
TPI,0.51174807680093
COAtim,0.0
NADS2,0.0
ACACT4p,0.0
HISTRS,0.005015203702697364
PHETRSm,0.0
OMCDC,0.026254243327647416
LEUTA,-0.21040028680695735
DTMPK,0.00020686577634844688
ALCD23yi,0.0
FA140COAabcp,0.0
FACOAL160p,0.0
PGL,0.0
THRD_Lm,0.0
BGLA,0.0
TRPTRS,0.0019119710815178092
AMETt2,0.0
SHSL1,0.0
AHSERL,0.0
ACtr,0.0
LNS14DMrx,0.0
ACOAD10m,0.0
TMDPP,0.0
INSTt2,0.0
IPC224PLCg_RT,0.0
DCTCP,0.0
TRPTRSm,0.0
HEX7,0.0
HICITDm,0.01413000661959304
MALtm,0.0
AMID,0.0
MCITSm,0.0
GNNUC,0.0
PNTK,6.31338278986671e-05
FAO80p,0.0
ADA,0.0
GLUDxi,0.0
URAt2,0.0
FA180COAabcp,0.0
AMID2,0.0
ERGSTt,0.0
CSNATp,0.00034994178892396797
UDPG4E,0.0
CYOR_u9m,4.564926097792934
SHK3Dr,0.015346521690414604
SSALy,0.0
CYSDS,0.0
RBK,0.0
MOHMT,6.31338278986671e-05
IPC324PLCg_RT,0.0
GARFT,0.010004743914311096
PYDAMK,0.0
HKYNH,0.0001379925095502839
DATCY,0.0
NNATn,0.0
METTRSm,0.0
SFGTHi,0.0
IPCS226g_RT,0.0
ACP1e,0.0
FAO141p_even,0.0
FTHFLi,0.11857090424859808
ASAD,-0.05553328877569883
ECOAH7p,0.0
FACOAL140p,0.0
ECOAH9m,0.0
HXPRT,0.0
H2Otm,-16.25116482221439
C22STDSrx,0.0
NTRLASE2,0.0
DHAD2m,0.013001386955924244
ERGSTGLCT,0.0
FACOAL182,0.0
P5CR,0.0
PSPHPLer,0.0
MI1PP,0.0
NAt3_1,0.0
NDPK10,0.0
BPNT2,0.0
RNDR3n,0.0
CPPPGO,5.665646114022068e-05
PTRCt3i,0.27506621692389904
NAPRT,0.0
MIP2C324PLCg_RT,0.0
ALCD2x,-1.2923847033030664
PTE7x,0.0
NDPK3,0.09348111108175428
FAO161p_odd,0.0
LANOSTt,0.0
FACOAL120,0.0
ECOAH5m,0.0
SACCD4m,0.0
C4STMO2er,0.012006250242669745
URIDK2r,-0.0005582014290052423
NTPP9,0.0
CERS2p24er,0.0
ALPHNH,0.0
DURIPP,0.0
GLUDy,-0.4960212037119813
HSERTA,0.008218712520656231
CITtam,-0.15112049212957668
PHETRS,0.007802685192399365
FMNAT,6.157598019725867e-05
TYRTRS,0.005113266115900988
TYRTRSm,0.0
NTRLASE3,0.0
ILETRSm,0.0
ASPK,0.05553328877569883
DIPS,0.0
UDPGALt2g,0.0
LALDO3,0.0
HSK,0.0473145762550426
GTPt2m,0.0
PPCDC,6.31338278986671e-05
ATPATF1,0.0
PRATPP,0.00512941853680493
ASPTRS,0.016176690531289405
TYRt6,0.0
FAO161p_even,0.0
PSERDv_RT,0.0
IMPC,-0.015134162451116026
DGTUP,0.0
PDE5,0.0
NDPK9,0.0
RNDR4n,0.0
SUCRe,0.0
TYRt7,0.0
RPE,0.0535582573607471
HEX4,0.0
ILEt7,0.0
ADNUC,0.0
DHQTi,0.015346521690414604
ORNt3m,0.01288635220197384
LEUTAm,0.18414604347930993
ECOAH6m,0.0
NADH2_u9cm,0.0
OMCDCm,0.0
FA182COAabcp,0.0
CHLPCTD,0.0
NDPK2,0.14785393147570067
ACOAH,0.0
CERS2p26er,0.0
PYK,1.2878485326007394
TRDRm,0.0
FAS180COA,0.015778045503700766
PPCOAOm,0.02159810043821889
GHMT2r,-0.08320046414032767
ACACT5p,0.0
ALLTAHr,0.0
CERS324er,0.0
PGAMT,0.0
PMEVK,0.07275353745477035
FAS80COA_L,0.01774618109445309
DHFS,0.00031993272267602404
ACGKm,0.01288635220197384
PGCD,0.0
PPBNGS,0.00022662584456088273
PRMICI,0.00512941853680493
PPNCL3,6.31338278986671e-05
NNAMrm,0.0
PGM,-1.3185415759815686
CYTK2,0.0
MIP2C224PLCg_RT,0.0
GTMLT,0.0
ASP1DC,0.0
ETHAPTer_RT,0.0
PGMT,-0.1374397195918727
GTHRDabcv,0.0
DOLPMMer,0.06624468577437198
DADK,0.0
DTTGY,0.0
ZYMSTt,-0.011064408319199824
ADNCYC,0.00014692963583686752
URIt2,0.0
ASPCT,0.008430251840108833
CYSTRS,0.0028097833094272396
ARGt2r,0.0
ACITL,0.0
G12MT2g,0.0
PFK_2,0.0
ABUTD,0.0
PEAMNO,0.0
ALDD2x,0.0
PDE1,0.0
IPCS224g_RT,0.0
ALKP,0.0
3HPCOAHYDm,0.02159810043821889
ASNt6,0.0
DGTCY,0.0
ATPS,0.0
ACGAMPM,0.0025421614727243738
PHETA1,-0.007802685192399365
HEX10,0.0
16GS,0.014538408693311477
MCOATAm,0.0
NADS1n,0.0
AMPTASECG,0.0
THFGLUS,0.0
ADK1,0.9733735398700002
BTDD_RR,0.0
HMGCOAS,-0.07275353745477035
GTPCI,0.00031993272267602404
GMAND,0.0
MTHFDm,0.0
LEUTRS,0.026254243327647416
PMETMer_RT,0.0014102621296842198
G3PD1ir,0.0069775178625655285
NNAM,0.0
GLPT,0.0
DRBK,0.0
ADNt2,0.0
UREA2t2,0.0
ASPTA,-0.12119820922919337
MIPCS326g_RT,0.0
PRAMPC,0.00512941853680493
ADSL1r,0.010174385329794634
ARGN,0.0
ICDHyp,0.0
TKT2,0.2392580762728978
SAM24MTer,0.000461696863503014
BACCL,0.0
DUTUP,0.0
GTHOr,0.0
MTHFD,-0.09343199788317096
ATP2tp_H,0.00797761509087192
GLUDC,0.0
METt2r,0.0
HBCO_nadp,0.0
VALTAm,-0.02256157033145043
GTHRDt2,0.0
METSOXR1,0.0
PLDn_RT,0.0
NAPRTm,0.0
FACOAL260p,0.0
PYDXNK,0.00011421483410756499
ALCD2y,1.2923847033030664
IG3PS,0.00512941853680493
AGATer_RT,0.0069775178625655285
DCTPD,0.0
CYTDt2,0.0
UPPRT,0.0
ECOAH12m,0.0021769512606287533
LCYSTCBOXL,0.0
DHAK,0.0
GRTT,0.024069156946479712
ILETRS,0.013001386955924244
IPCS124g_RT,0.0
ILETA,-0.013001386955924244
UREASE,0.0
PTE9m,0.0
TYRTA,-0.005173940184271124
GLCP,0.0
PYRDC,0.07717829896454406
PINOSer_RT,0.00038536232613464136
NNDPR,0.0001379925095502839
MIPC124PLCg_RT,0.0
PIt2m,14.404334850537154
PYDXO_1,0.0
RBFSa,0.0002854960892767705
PMANM,-0.06624468577437198
METTRS,0.004677642703400275
NADS1,0.0001379925095502839
PSERDg_RT,0.0
GLYOX,0.0
D_LACDcm,0.0
ACOAO5p,0.0
DRTPPD,0.00014274804463838524
ALASm,0.00045325168912176546
ALCD24xi,0.0
NDP3g,0.0
DAGPYPer_RT,0.0035420537210673424
SPMDt3i,0.0
FACOAL100p,0.0
ACACT6m,0.0
3MOBDC,0.0
DAGKer_RT,0.0
MDHm,0.9673802561974557
SERTRS,0.027620639745739712
TALA,-0.1856998189121507
ALCD25xi,0.0
GAPD,1.3185415759815686
OIVD3m,0.0
APCPT,0.0
OCBTm,0.0
C5STDSer,0.000461696863503014
CITtcm,0.15112049212957668
13GS,0.07850748893586626
SHCHD2,0.0
GALKr,0.0
PTE9x,0.0
TMDPK,0.00011421483410756499
CERH126er,0.0
ACONTam,-0.9936344995251031
DCTUP,0.0
MIPC324PLCg_RT,0.0
GLYCTO1p,0.00031993272267602404
FECOSTESTH_RT,0.0
HACD7p,0.0
THRt2r,0.0
ETF,0.0
NP1,0.0
PTPATi,6.31338278986671e-05
IGPS,0.04926840941234534
ALDD20x,0.0
LYSt6,0.0
METS,0.009750404779064983
CYSTL,0.0
PI35BP5Per_RT,0.0
NADK,6.518362750612186e-05
NTD2,0.0
TRDR,0.00928641214000204
MIPCS226g_RT,0.0
CDPDGPm_RT,0.00014758557171113925
FA141COAabcp,0.0
HISTP,0.00512941853680493
FACOAL161p,0.0
GK1,0.00883275049095882
EPISTATer_RT,0.0
ACHLE2,0.0
ACACT6p,0.0
GMPS2,0.0
ADCS,0.00031993272267602404
IMPD,0.004959777121321391
TRPTA,0.0
COAHLp,0.0
LANOSTESTH_RT,0.0
ORNTACim,0.01288635220197384
VALt2r,0.0
C24STRer,0.000461696863503014
ASNt7,0.0
YUMPS,0.0
PCDAGATer_RT,0.0
FA161COAabcp,0.0
IPC226PLCg_RT,0.0
FAS140COA,0.01774618109445309
ACLSm,0.05105589874762527
